date,country,province,population,cases,new_cases,avg7_new_cases,avg7_new_cases_100k,deaths,new_deaths,avg7_new_deaths,avg7_new_deaths_100k
2021-10-05,India,Andaman and Nicobar Islands,417036,7626,2,0.8571428571428571,0.2055321020590206,129,0,0,0
2021-10-05,India,Andhra Pradesh,53903393,2053863,671,804.7142857142857,1.4928824345329907,14219,11,9.857142857142858,0.018286683469337185
2021-10-05,India,Arunachal Pradesh,1570458,54771,19,46.714285714285715,2.9745644719111057,277,0,0.2857142857142857,0.018193054874074042
2021-10-05,India,Assam,35607039,603623,385,314.57142857142856,0.8834529278647083,5897,7,5.142857142857143,0.014443372117679158
2021-10-05,India,Bihar,124799926,725973,2,3.5714285714285716,0.0028617233085767788,9661,0,0.14285714285714285,1.1446893234307114e-4
2021-10-05,India,Chandigarh,1158473,65247,4,4,0.3452821084306669,820,1,0.14285714285714285,0.012331503872523818
2021-10-05,India,Chhattisgarh,29436231,1005425,13,18.571428571428573,0.0630903751619172,13568,0,0.5714285714285714,0.0019412423126743755
2021-10-05,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-05,India,Delhi,18710922,1439027,27,35.285714285714285,0.18858351440786447,25088,0,0.14285714285714285,7.634960097484393e-4
2021-10-05,India,Goa,1586250,176767,86,76,4.79117415287628,3322,2,2,0.1260835303388495
2021-10-05,India,Gujarat,63872399,826039,23,20.428571428571427,0.03198341028113164,10083,1,0.14285714285714285,2.2366021175616537e-4
2021-10-05,India,Haryana,28204692,770938,14,13,0.046091621918792805,9875,1,0.14285714285714285,5.065013397669539e-4
2021-10-05,India,Himachal Pradesh,7451955,219746,155,150.42857142857142,2.0186457302623464,3688,3,2.2857142857142856,0.030672679662105923
2021-10-05,India,Jammu and Kashmir,13606320,329991,102,110.14285714285714,0.8094977712038018,4424,0,0.2857142857142857,0.0020998645167413796
2021-10-05,India,Jharkhand,38593948,348280,8,10.142857142857142,0.026280952502856517,5135,0,0,0
2021-10-05,India,Karnataka,67562686,2978808,522,611.4285714285714,0.904979667961353,37845,13,11.714285714285714,0.01733839550767078
2021-10-05,India,Kerala,35699443,4738791,9735,12286.857142857143,34.417503776899665,25677,151,123.85714285714286,0.3469441886170125
2021-10-05,India,Ladakh,289023,20830,5,6,2.075959352715874,207,0,0,0
2021-10-05,India,Lakshadweep,73183,10363,2,0.2857142857142857,0.3904107316101905,51,0,0,0
2021-10-05,India,Madhya Pradesh,85358965,792580,10,9.857142857142858,0.011547870639179912,10522,0,0.2857142857142857,3.3472088809217136e-4
2021-10-05,India,Maharashtra,123144223,6564915,2401,2901.285714285714,2.3560063506070557,139272,39,44.285714285714285,0.035962478147037624
2021-10-05,India,Manipur,3091545,121303,157,155.28571428571428,5.022916188692523,1871,3,2.7142857142857144,0.08779706309582148
2021-10-05,India,Meghalaya,3366710,81955,96,137.57142857142858,4.0862274615701555,1409,1,1.7142857142857142,0.05091872226255645
2021-10-05,India,Mizoram,1239244,101327,1471,1344,108.45321825241842,335,7,4.142857142857143,0.3343052008205925
2021-10-05,India,Nagaland,2249695,31342,20,21,0.933459869004465,666,0,0.2857142857142857,0.012700134272169592
2021-10-05,India,Odisha,46356334,1028819,453,501.42857142857144,1.0816829722310901,8223,3,5.142857142857143,0.011094184330575284
2021-10-05,India,Puducherry,1413542,126669,82,64.85714285714286,4.588271367751568,1843,1,0.5714285714285714,0.040425298394286935
2021-10-05,India,Punjab,30141373,601752,13,24.857142857142858,0.08246851547586388,16525,4,2.2857142857142856,0.007583311767895529
2021-10-05,India,Rajasthan,81032689,954343,1,3.2857142857142856,0.004054801002240325,8954,0,0,0
2021-10-05,India,Sikkim,690251,31561,24,29.428571428571427,4.263459441358496,388,0,0.14285714285714285,0.020696405055138326
2021-10-05,India,Tamil Nadu,77841267,2671411,1449,1551.142857142857,1.992699909603035,35682,16,22.285714285714285,0.02862969109394672
2021-10-05,India,Telangana,38510982,666971,218,209.57142857142858,0.5441861455816125,3924,1,1.2857142857142858,0.0033385653103166412
2021-10-05,India,Tripura,4169794,84204,12,14.142857142857142,0.3391740009903881,815,0,0.42857142857142855,0.01027800003001176
2021-10-05,India,Uttar Pradesh,237882725,1709893,20,14.142857142857142,0.005945306513054759,22896,2,0.7142857142857143,3.002680057098363e-4
2021-10-05,India,Uttarakhand,11250858,343596,12,11,0.09777032116128388,7395,0,0.2857142857142857,0.0025394888613320486
2021-10-05,India,West Bengal,99609303,1572460,619,698.1428571428571,0.7008811788823149,18848,11,12,0.012047067531433284
2021-10-06,India,Andaman and Nicobar Islands,417036,7627,1,1,0.2397874524021907,129,0,0,0
2021-10-06,India,Andhra Pradesh,53903393,2054663,800,764.1428571428571,1.417615505470791,14228,9,9.285714285714286,0.01722658587691184
2021-10-06,India,Arunachal Pradesh,1570458,54812,41,34.285714285714285,2.183166584888885,279,2,0.42857142857142855,0.02728958231111106
2021-10-06,India,Assam,35607039,603923,300,305.14285714285717,0.8569734123156301,5903,6,5,0.014042167336632511
2021-10-06,India,Bihar,124799926,725975,2,3.2857142857142856,0.0026327854438906364,9661,0,0.14285714285714285,1.1446893234307114e-4
2021-10-06,India,Chandigarh,1158473,65252,5,4,0.3452821084306669,820,0,0.14285714285714285,0.012331503872523818
2021-10-06,India,Chhattisgarh,29436231,1005440,15,16.428571428571427,0.05581071648938829,13568,0,0.42857142857142855,0.0014559317345057814
2021-10-06,India,Dadra and Nagar Haveli and Daman and Diu,615724,10672,0,0.2857142857142857,0.0464029801849994,4,0,0,0
2021-10-06,India,Delhi,18710922,1439053,26,33.142857142857146,0.17713107426163793,25088,0,0.14285714285714285,7.634960097484393e-4
2021-10-06,India,Goa,1586250,176864,97,78,4.91725768321513,3322,0,1.4285714285714286,0.09005966452774963
2021-10-06,India,Gujarat,63872399,826060,21,20.571428571428573,0.03220707049288782,10084,1,0.2857142857142857,4.4732042351233075e-4
2021-10-06,India,Haryana,28204692,770949,11,12.285714285714286,0.04355911521995803,9875,0,0.14285714285714285,5.065013397669539e-4
2021-10-06,India,Himachal Pradesh,7451955,219919,173,145.85714285714286,1.9573003709381345,3690,2,2.142857142857143,0.028755637183224304
2021-10-06,India,Jammu and Kashmir,13606320,330118,127,114,0.8378459421798106,4426,2,0.5714285714285714,0.004199729033482759
2021-10-06,India,Jharkhand,38593948,348287,7,10.285714285714286,0.026651106763460136,5135,0,0,0
2021-10-06,India,Karnataka,67562686,2979331,523,609.1428571428571,0.9015965663988804,37854,9,10.571428571428571,0.015646844726434603
2021-10-06,India,Kerala,35699443,4751407,12616,12351.857142857143,34.59957944681978,25811,134,120.85714285714286,0.338540696159161
2021-10-06,India,Ladakh,289023,20831,1,5.142857142857143,1.7793937308993204,208,1,0.14285714285714285,0.04942760363609223
2021-10-06,India,Lakshadweep,73183,10364,1,0.42857142857142855,0.5856160974152858,51,0,0,0
2021-10-06,India,Madhya Pradesh,85358965,792596,16,11,0.012886754191548598,10522,0,0,0
2021-10-06,India,Maharashtra,123144223,6567791,2876,2856.8571428571427,2.319927864465995,139362,90,50.142857142857146,0.04071880590196841
2021-10-06,India,Manipur,3091545,121462,159,148,4.787250387751109,1875,4,3,0.09703885921117111
2021-10-06,India,Meghalaya,3366710,82068,113,129.57142857142858,3.8486067576782252,1412,3,1.7142857142857142,0.05091872226255645
2021-10-06,India,Mizoram,1239244,102629,1302,1281.2857142857142,103.39252917792737,341,6,4.857142857142857,0.39194402854828075
2021-10-06,India,Nagaland,2249695,31373,31,22,0.9779103389570586,667,1,0.2857142857142857,0.012700134272169592
2021-10-06,India,Odisha,46356334,1029412,593,505.42857142857144,1.0903117822659822,8227,4,5,0.010786012543614859
